"shapeid","OBJECTID","ILCEKN","ILCE_ADI","KIMLIKNO","AD","YAKA","KARAR_NO","KARAR_TARI","GLOBALID","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","TANITIMKOD","SHAPE_Leng","SHAPE_Area","area","perimeter"
"24.0","25","1739","26","40836","VELÝEFENDÝ","2","NULL","1899-12-30","{9F6DDFE8-5B35-4714-81C6-34DD0E562017}","NULL","NULL","NULL","NULL","6","3234.41844428","402117.069725","4.302541037759511e-05","0.034624769920715545"
"25.0","26","1739","26","40841","SEYÝTNÝZAM","2","NULL","1899-12-30","{472499B2-FAFF-4B4E-B9F6-24B89077859F}","NULL","NULL","NULL","NULL","11","5784.03995643","1243467.36872","0.00013306842868132662","0.06438633589065094"
"26.0","27","1739","26","40839","TELSÝZ","2","NULL","1899-12-30","{D33608DC-18AE-49E6-888D-68FD5F310E3E}","NULL","NULL","NULL","NULL","9","3565.58894837","602485.890525","6.44676455294757e-05","0.03530820892937955"
"27.0","28","1739","26","40833","YENÝDOÐAN","2","NULL","1899-12-30","{663F7C89-C011-468C-816A-159239BF56D8}","NULL","NULL","NULL","NULL","3","1798.55174229","156064.045293","1.6696657553438854e-05","0.018414597525688345"
"28.0","29","1739","26","40837","ÇIRPICI","2","NULL","1899-12-30","{9C8E97D2-9C87-43B7-8598-45C92556653E}","NULL","NULL","NULL","NULL","7","2980.28204431","383657.025009","4.105272614651767e-05","0.031453398201903404"
"29.0","30","2049","34","40740","MUSTAFA KEMAL","1","NULL","1899-12-30","{5E57C3CA-D033-4E9D-B928-90AD56D55C45}","NULL","NULL","TERDEM","2017-02-02","44","3858.19281744","601629.710787","6.438218201765267e-05","0.03971337013477916"
"30.0","31","1782","29","40888","MURAT ÇESME","2","NULL","1899-12-30","{DF3ED4C5-957C-4DB0-9BB7-389D420FCDC8}","NULL","NULL","NULL","NULL","12","7075.48102183","2432759.50808","0.0002603409433277193","0.07782465484887957"
"31.0","32","2052","37","40756","MERKEZ","1","NULL","1899-12-30","{53DB08CE-03FE-433B-8883-578FEFC1C496}","NULL","NULL","NULL","NULL","9","14349.2439028","8407038.35539","0.0009002473602777172","0.1538423413773907"
"32.0","33","2054","39","40574","VEYSEL KARANÝ","1","NULL","1899-12-30","{0F06E8DA-765B-4E05-899B-223DEEE5C8EC}","NULL","NULL","NULL","NULL","14","5824.89056611","1374491.42795","0.00014702016426326736","0.05977344808889124"
"33.0","34","2051","36","40869","ADNAN KAHVECÝ","2","NULL","1899-12-30","{C58831C3-9AED-4A4F-9306-9F701552080B}","NULL","NULL","NULL","NULL","5","10140.5903412","4586731.33505","0.0004907303384698025","0.1030865042083742"
"34.0","35","1604","21","40673","POLÝGON","2","NULL","1899-12-30","{8BB9AA7B-28AB-42B4-B01E-20B135EAEE97}","NULL","NULL","TERDEM","2017-03-07","0","4344.60937448","906559.991682","9.717968225686491e-05","0.04625098535158708"
"35.0","36","1604","21","40672","PINAR","2","NULL","1899-12-30","{981C7319-6F81-433A-8B54-6D633009A284}","NULL","NULL","NULL","NULL","0","5321.52414601","759785.016548","8.144193350290152e-05","0.05601598387715603"
"36.0","37","2054","39","40775","MERVE","1","NULL","1899-12-30","{F10D59E2-0708-4981-9A1D-26E336EE02DE}","NULL","NULL","NULL","NULL","8","6035.98024656","1065377.3897","0.00011401776509956107","0.06808001497953697"
"37.0","38","1852","24","40748","ATAKENT","1","NULL","1899-12-30","{7ECD4795-B418-46AC-9D8C-601919BE38D5}","NULL","NULL","NULL","NULL","14","5240.91812554","960977.846113","0.00010286144231486105","0.053501429866349905"
